rank	conflict	source_file_or_location	scientific_or_reproducibility_consequence	implemented_correction
1	Target velocity is not the derivative of target position	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/MandibleScalingInverseDDK.java:324-328	Position uses 0.5*A but velocity uses A*omega; commanded velocity is 2x the active-position derivative, affecting inverse-controller demand and all old dynamics.	`MandibleScalingInverseDDK_CURRENT.java::TargetUpdater.apply` codes `0.5*A*omega*cos`, retains the approved active position, and emits distinct formula IDs.
2	All archived simulation outputs inherit the target mismatch	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/current_outputs/artisynth_scaling_runs_long_twoamp.csv; artisynth_force_scaled_runs_long_twoamp.csv; manuscript/Figure8_CURRENT.png; manuscript/SuppPub2_CURRENT.png; main_CURRENT.tex:47,390-418	Old endpoints, heatmaps, Table S3, and simulation prose cannot be promoted after a dynamics-target correction.	`run_artisynth_case_CURRENT.py::create_identity` and `::verify_resume` require the corrected class/configuration hashes and fresh or exact-matching directories; `validate_artisynth_grid_CURRENT.py::validate_mode` and `make_artisynth_figures_CURRENT.py::load_validation` reject old schema/unvalidated inputs.
3	Permissive two-failure fmax conflicts with approved strict prefix	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/make_fmax_twoamp.py:23-34,40-64; make_artisynth_twoamp_figs.py:65-95,419-422	An isolated failed frequency may be ignored, inflating fmax and hiding local nonmonotonicity.	`compute_fmax_CURRENT.py::compute` closes the prefix at the first failure, records the first criterion/frequency, and flags later feasible cells without reopening.
4	Figure 8 and Table S3 use inconsistent endpoint logic	PREFLIGHT_EVIDENCE_BUNDLE.zip!/manuscript/Figure8_CURRENT.png panel C versus main_CURRENT.tex:397-414	Examples include fixed A=1.0,s=0.95 and s=1.10, for which the figure shows permissive recovered endpoints while Table S3 reports strict-prefix values.	`make_artisynth_figures_CURRENT.py::load_validation`, `::load_fmax`, and `::table_s3` consume only PASS-validated long tables and the independent strict-prefix output.
5	Force-capacity s=1.00 cells do not exercise the force setter	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/MandibleScalingInverseDDK.java:664-687; old force long table has n_force_scaled=0 in all 38 s=1.00 cells	The sensitivity cannot verify that the force-capacity code path is active at the reference scale; old validation criterion n_force_scaled>0 is violated.	`MandibleScalingInverseDDK_CURRENT.java::applyForceCapacitySensitivity` touches and reads back force capacity for every sensitivity cell, including multiplier 1; identity-based de-duplication avoids repeated multiplication of shared storage, and the wrapper/validator require `n_force_scaled>0`.
6	Primary prose calls the disabled-gravity manipulation weight scaling	PREFLIGHT_EVIDENCE_BUNDLE.zip!/manuscript/main_CURRENT.tex:257 versus MandibleScalingInverseDDK.java:531-539,554-556	“Mass–inertia–weight” is scientifically incorrect when the gravity vector is zero.	`ARTISYNTH_CANONICAL_SPECIFICATION.md` and `MandibleScalingInverseDDK_CURRENT.java::build` define mass-and-inertia scaling with gravity disabled; no gravity-enabled branch is present.
7	Gravity is set in multiple redundant/best-effort locations	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/MandibleScalingInverseDDK.java:66,111-112,531-541,554-556	The effective state is hard to audit and the flag does not meaningfully control the earlier unconditional zeroing.	`MandibleScalingInverseDDK_CURRENT.java::validateParams` accepts only `gravity=disabled`; `::build` sets `(0,0,0)` once after construction.
8	Geometry-scaling branch is reachable and scaling is skipped at s=1	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/MandibleScalingInverseDDK.java:174-188,572-583	A wrong argument can alter geometry, paths, attachments, and lever arms; the reference cell follows a different code path.	`MandibleScalingInverseDDK_CURRENT.java::validateParams` rejects noncanonical settings; `::applyMassAndInertiaScaling` changes only mass/inertia, and `::build` calls it at every scale with `geometryScaled=false`.
9	Unknown Java model arguments are silently ignored	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/MandibleScalingInverseDDK.java:72-137	Misspelled or unsupported force/configuration arguments can yield apparently successful but noncanonical runs.	`MandibleScalingInverseDDK_CURRENT.java::parseArgs` throws on unknown/malformed arguments and `::validateParams` enforces every canonical parameter.
10	Collision/TMJ/probe/solver changes are best-effort and unrecorded	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/MandibleScalingInverseDDK.java:444-519,544-564	A failed API call can silently change constraints/controller inputs across runs or ArtiSynth versions.	`MandibleScalingInverseDDK_CURRENT.java::disableCollisions`, `::configureTmj`, and `::build` record effective counts/flags and fail unless collision, both TMJs, probes, and hybrid-solver state are verified.
